subscription_id,customer_id,plan_id,status,billing_cycle,mrr,start_date,end_date,created_at,updated_at
sub_750882,cust_934794,2,churned,monthly,0,2023-02-10,2023-03-07,2023-02-10 00:00:00,2023-03-07 00:00:00
sub_363076,cust_348237,3,active,annual,79,2023-06-16,,2023-06-16 00:00:00,2024-12-31 00:00:00
sub_815234,cust_379766,2,churned,annual,0,2023-06-13,2024-04-06,2023-06-13 00:00:00,2024-04-06 00:00:00
sub_102146,cust_338651,2,active,monthly,29,2023-08-17,,2023-08-17 00:00:00,2024-12-31 00:00:00
sub_505537,cust_984642,4,active,monthly,199,2024-07-03,,2024-07-03 00:00:00,2024-12-31 00:00:00
sub_696746,cust_863934,3,active,annual,79,2023-11-18,,2023-11-18 00:00:00,2024-12-31 00:00:00
sub_278758,cust_645175,3,active,monthly,79,2024-07-05,,2024-07-05 00:00:00,2024-12-31 00:00:00
sub_813745,cust_753425,3,active,monthly,79,2023-11-18,,2023-11-18 00:00:00,2024-12-31 00:00:00
sub_947311,cust_681343,2,active,monthly,29,2023-05-11,,2023-05-11 00:00:00,2024-12-31 00:00:00
sub_686424,cust_974224,2,active,monthly,29,2023-01-01,,2023-01-01 00:00:00,2024-12-31 00:00:00
sub_933790,cust_636004,3,active,monthly,79,2024-04-29,,2024-04-29 00:00:00,2024-12-31 00:00:00
sub_701056,cust_346277,2,active,monthly,29,2024-11-19,,2024-11-19 00:00:00,2024-12-31 00:00:00
sub_472654,cust_534572,2,churned,monthly,0,2024-10-06,2024-12-23,2024-10-06 00:00:00,2024-12-23 00:00:00
sub_638051,cust_907451,3,churned,annual,0,2023-04-20,2023-12-20,2023-04-20 00:00:00,2023-12-20 00:00:00
sub_686625,cust_578634,3,active,annual,79,2023-05-17,,2023-05-17 00:00:00,2024-12-31 00:00:00
sub_444582,cust_547470,4,active,monthly,199,2024-07-15,,2024-07-15 00:00:00,2024-12-31 00:00:00
sub_946485,cust_608136,1,active,annual,0,2024-10-03,,2024-10-03 00:00:00,2024-12-31 00:00:00
sub_480441,cust_258157,3,churned,monthly,0,2023-08-25,2024-03-03,2023-08-25 00:00:00,2024-03-03 00:00:00
sub_397901,cust_973349,4,active,monthly,199,2024-03-06,,2024-03-06 00:00:00,2024-12-31 00:00:00
sub_419891,cust_413118,4,active,monthly,199,2024-02-04,,2024-02-04 00:00:00,2024-12-31 00:00:00
sub_728672,cust_130434,3,active,monthly,79,2024-02-03,,2024-02-03 00:00:00,2024-12-31 00:00:00
sub_712454,cust_513160,4,active,annual,199,2024-08-29,,2024-08-29 00:00:00,2024-12-31 00:00:00
sub_887803,cust_321941,1,active,annual,0,2024-04-10,,2024-04-10 00:00:00,2024-12-31 00:00:00
sub_596771,cust_885408,4,active,monthly,199,2024-07-06,,2024-07-06 00:00:00,2024-12-31 00:00:00
sub_545668,cust_309044,2,active,annual,29,2023-01-21,,2023-01-21 00:00:00,2024-12-31 00:00:00
sub_186422,cust_275939,4,active,monthly,199,2024-09-12,,2024-09-12 00:00:00,2024-12-31 00:00:00
sub_924047,cust_703766,2,active,monthly,29,2024-11-24,,2024-11-24 00:00:00,2024-12-31 00:00:00
sub_224348,cust_991597,4,active,monthly,199,2024-12-01,,2024-12-01 00:00:00,2024-12-31 00:00:00
sub_449970,cust_630538,1,active,monthly,0,2024-10-25,,2024-10-25 00:00:00,2024-12-31 00:00:00
sub_299903,cust_260422,2,churned,annual,0,2024-03-21,2024-05-18,2024-03-21 00:00:00,2024-05-18 00:00:00
sub_463470,cust_721254,4,active,annual,199,2023-10-02,,2023-10-02 00:00:00,2024-12-31 00:00:00
sub_457207,cust_800646,1,active,annual,0,2024-01-24,,2024-01-24 00:00:00,2024-12-31 00:00:00
sub_456329,cust_835244,1,active,monthly,0,2023-10-10,,2023-10-10 00:00:00,2024-12-31 00:00:00
sub_660453,cust_599219,3,active,monthly,79,2024-10-23,,2024-10-23 00:00:00,2024-12-31 00:00:00
sub_770043,cust_486945,4,churned,annual,0,2024-04-29,2024-10-08,2024-04-29 00:00:00,2024-10-08 00:00:00
sub_397604,cust_341736,4,active,monthly,199,2023-05-04,,2023-05-04 00:00:00,2024-12-31 00:00:00
sub_266494,cust_389930,3,active,monthly,79,2024-08-26,,2024-08-26 00:00:00,2024-12-31 00:00:00
sub_388820,cust_660081,1,churned,monthly,0,2023-05-10,2023-07-31,2023-05-10 00:00:00,2023-07-31 00:00:00
sub_358830,cust_112861,3,active,monthly,79,2024-08-10,,2024-08-10 00:00:00,2024-12-31 00:00:00
sub_777693,cust_615633,4,active,annual,199,2023-03-17,,2023-03-17 00:00:00,2024-12-31 00:00:00
sub_898868,cust_901577,3,active,monthly,79,2024-03-02,,2024-03-02 00:00:00,2024-12-31 00:00:00
sub_146803,cust_549660,3,active,monthly,79,2023-11-09,,2023-11-09 00:00:00,2024-12-31 00:00:00
sub_186558,cust_264686,1,active,monthly,0,2023-09-03,,2023-09-03 00:00:00,2024-12-31 00:00:00
sub_509593,cust_841296,3,active,monthly,79,2023-10-17,,2023-10-17 00:00:00,2024-12-31 00:00:00
sub_581061,cust_545790,3,active,monthly,79,2023-04-28,,2023-04-28 00:00:00,2024-12-31 00:00:00
sub_146073,cust_885339,2,active,monthly,29,2024-08-05,,2024-08-05 00:00:00,2024-12-31 00:00:00
sub_206759,cust_727086,4,active,annual,199,2023-02-10,,2023-02-10 00:00:00,2024-12-31 00:00:00
sub_162833,cust_901909,3,active,monthly,79,2024-11-19,,2024-11-19 00:00:00,2024-12-31 00:00:00
sub_311824,cust_713762,3,active,monthly,79,2024-03-22,,2024-03-22 00:00:00,2024-12-31 00:00:00
sub_779525,cust_445824,3,active,annual,79,2024-02-26,,2024-02-26 00:00:00,2024-12-31 00:00:00
sub_646802,cust_438977,4,active,monthly,199,2023-04-29,,2023-04-29 00:00:00,2024-12-31 00:00:00
sub_766478,cust_479353,3,active,monthly,79,2024-09-29,,2024-09-29 00:00:00,2024-12-31 00:00:00
sub_517589,cust_227324,4,churned,monthly,0,2023-01-30,2023-10-04,2023-01-30 00:00:00,2023-10-04 00:00:00
sub_187275,cust_982277,3,churned,annual,0,2023-04-27,2024-07-26,2023-04-27 00:00:00,2024-07-26 00:00:00
sub_492437,cust_975271,2,active,monthly,29,2024-05-09,,2024-05-09 00:00:00,2024-12-31 00:00:00
sub_528644,cust_173201,2,active,annual,29,2023-10-10,,2023-10-10 00:00:00,2024-12-31 00:00:00
sub_544638,cust_791998,2,churned,annual,0,2024-05-16,2024-08-10,2024-05-16 00:00:00,2024-08-10 00:00:00
sub_809283,cust_297816,3,churned,monthly,0,2023-09-02,2024-01-26,2023-09-02 00:00:00,2024-01-26 00:00:00
sub_503017,cust_504832,4,active,monthly,199,2024-11-10,,2024-11-10 00:00:00,2024-12-31 00:00:00
sub_970055,cust_561694,3,churned,monthly,0,2023-04-13,2024-10-20,2023-04-13 00:00:00,2024-10-20 00:00:00
sub_538136,cust_377896,4,active,monthly,199,2023-12-13,,2023-12-13 00:00:00,2024-12-31 00:00:00
sub_371950,cust_853629,1,churned,annual,0,2024-05-14,2024-10-26,2024-05-14 00:00:00,2024-10-26 00:00:00
sub_390206,cust_203225,4,active,monthly,199,2024-10-10,,2024-10-10 00:00:00,2024-12-31 00:00:00
sub_109968,cust_475876,3,active,monthly,79,2024-01-19,,2024-01-19 00:00:00,2024-12-31 00:00:00
sub_478756,cust_501126,3,active,monthly,79,2024-09-26,,2024-09-26 00:00:00,2024-12-31 00:00:00
sub_945435,cust_943718,3,churned,monthly,0,2024-04-21,2024-08-17,2024-04-21 00:00:00,2024-08-17 00:00:00
sub_393042,cust_362246,2,churned,annual,0,2024-04-12,2024-11-04,2024-04-12 00:00:00,2024-11-04 00:00:00
sub_147976,cust_833247,4,active,annual,199,2023-10-30,,2023-10-30 00:00:00,2024-12-31 00:00:00
sub_645316,cust_881369,3,active,annual,79,2024-05-23,,2024-05-23 00:00:00,2024-12-31 00:00:00
sub_355177,cust_855948,4,active,monthly,199,2024-11-06,,2024-11-06 00:00:00,2024-12-31 00:00:00
sub_268018,cust_482584,4,active,annual,199,2023-05-15,,2023-05-15 00:00:00,2024-12-31 00:00:00
sub_947718,cust_626169,2,active,monthly,29,2023-10-07,,2023-10-07 00:00:00,2024-12-31 00:00:00
sub_936258,cust_591081,3,active,monthly,79,2023-03-19,,2023-03-19 00:00:00,2024-12-31 00:00:00
sub_161669,cust_114594,2,active,annual,29,2023-09-28,,2023-09-28 00:00:00,2024-12-31 00:00:00
sub_465226,cust_213609,2,active,annual,29,2024-11-22,,2024-11-22 00:00:00,2024-12-31 00:00:00
sub_396080,cust_586819,4,active,monthly,199,2023-11-06,,2023-11-06 00:00:00,2024-12-31 00:00:00
sub_871037,cust_242254,1,active,monthly,0,2024-02-02,,2024-02-02 00:00:00,2024-12-31 00:00:00
sub_640472,cust_535037,3,active,monthly,79,2024-11-01,,2024-11-01 00:00:00,2024-12-31 00:00:00
sub_356902,cust_997004,4,active,monthly,199,2024-01-07,,2024-01-07 00:00:00,2024-12-31 00:00:00
sub_485166,cust_228093,3,churned,monthly,0,2024-04-10,2024-07-07,2024-04-10 00:00:00,2024-07-07 00:00:00
sub_881565,cust_692002,3,churned,monthly,0,2023-07-30,2024-12-07,2023-07-30 00:00:00,2024-12-07 00:00:00
sub_229022,cust_724932,3,active,monthly,79,2023-01-03,,2023-01-03 00:00:00,2024-12-31 00:00:00
sub_248548,cust_115582,3,active,monthly,79,2024-01-02,,2024-01-02 00:00:00,2024-12-31 00:00:00
sub_828252,cust_599380,3,active,monthly,79,2024-04-04,,2024-04-04 00:00:00,2024-12-31 00:00:00
sub_657286,cust_790909,2,active,monthly,29,2024-06-17,,2024-06-17 00:00:00,2024-12-31 00:00:00
sub_169163,cust_565108,2,churned,monthly,0,2023-03-17,2023-09-23,2023-03-17 00:00:00,2023-09-23 00:00:00
sub_333020,cust_726410,3,active,monthly,79,2024-06-27,,2024-06-27 00:00:00,2024-12-31 00:00:00
sub_678333,cust_855855,3,active,monthly,79,2023-08-09,,2023-08-09 00:00:00,2024-12-31 00:00:00
sub_841119,cust_427704,2,active,monthly,29,2024-11-12,,2024-11-12 00:00:00,2024-12-31 00:00:00
sub_937255,cust_874683,1,active,monthly,0,2024-01-17,,2024-01-17 00:00:00,2024-12-31 00:00:00
sub_879521,cust_886730,2,active,monthly,29,2024-03-09,,2024-03-09 00:00:00,2024-12-31 00:00:00
sub_971783,cust_335137,3,active,annual,79,2023-04-21,,2023-04-21 00:00:00,2024-12-31 00:00:00
sub_407804,cust_958182,4,active,monthly,199,2024-09-28,,2024-09-28 00:00:00,2024-12-31 00:00:00
sub_774206,cust_899444,2,churned,monthly,0,2023-11-13,2024-05-02,2023-11-13 00:00:00,2024-05-02 00:00:00
sub_444511,cust_132146,3,churned,monthly,0,2023-04-04,2024-01-09,2023-04-04 00:00:00,2024-01-09 00:00:00
sub_514563,cust_695164,3,active,monthly,79,2024-09-02,,2024-09-02 00:00:00,2024-12-31 00:00:00
sub_213974,cust_609253,3,active,annual,79,2024-09-13,,2024-09-13 00:00:00,2024-12-31 00:00:00
sub_216041,cust_610271,3,active,monthly,79,2024-06-23,,2024-06-23 00:00:00,2024-12-31 00:00:00
sub_797557,cust_901280,4,active,annual,199,2023-09-19,,2023-09-19 00:00:00,2024-12-31 00:00:00
sub_114311,cust_685864,1,active,annual,0,2024-11-15,,2024-11-15 00:00:00,2024-12-31 00:00:00
sub_550536,cust_701253,4,active,annual,199,2024-02-19,,2024-02-19 00:00:00,2024-12-31 00:00:00
sub_376331,cust_972442,2,active,annual,29,2024-01-06,,2024-01-06 00:00:00,2024-12-31 00:00:00
sub_301512,cust_456005,3,active,annual,79,2023-08-15,,2023-08-15 00:00:00,2024-12-31 00:00:00
sub_481237,cust_862712,1,active,monthly,0,2024-10-22,,2024-10-22 00:00:00,2024-12-31 00:00:00
sub_358965,cust_758452,3,churned,monthly,0,2024-05-20,2024-07-07,2024-05-20 00:00:00,2024-07-07 00:00:00
sub_437263,cust_757685,3,active,monthly,79,2023-11-20,,2023-11-20 00:00:00,2024-12-31 00:00:00
sub_143032,cust_425486,1,churned,monthly,0,2024-04-17,2024-11-23,2024-04-17 00:00:00,2024-11-23 00:00:00
sub_597233,cust_708519,3,active,annual,79,2024-07-21,,2024-07-21 00:00:00,2024-12-31 00:00:00
sub_896241,cust_164879,3,active,annual,79,2024-04-06,,2024-04-06 00:00:00,2024-12-31 00:00:00
sub_728258,cust_560767,3,active,monthly,79,2024-06-20,,2024-06-20 00:00:00,2024-12-31 00:00:00
sub_178628,cust_761532,1,active,monthly,0,2024-10-24,,2024-10-24 00:00:00,2024-12-31 00:00:00
sub_689822,cust_731977,2,active,annual,29,2023-06-03,,2023-06-03 00:00:00,2024-12-31 00:00:00
sub_929026,cust_843266,2,active,monthly,29,2023-03-28,,2023-03-28 00:00:00,2024-12-31 00:00:00
sub_756649,cust_818709,2,active,monthly,29,2024-06-23,,2024-06-23 00:00:00,2024-12-31 00:00:00
sub_263201,cust_903373,1,active,monthly,0,2024-05-12,,2024-05-12 00:00:00,2024-12-31 00:00:00
sub_697329,cust_652108,3,churned,monthly,0,2023-02-08,2023-04-10,2023-02-08 00:00:00,2023-04-10 00:00:00
sub_957210,cust_755087,3,active,monthly,79,2023-06-19,,2023-06-19 00:00:00,2024-12-31 00:00:00
sub_207548,cust_570735,2,active,annual,29,2023-08-28,,2023-08-28 00:00:00,2024-12-31 00:00:00
sub_248724,cust_561999,2,active,monthly,29,2024-04-17,,2024-04-17 00:00:00,2024-12-31 00:00:00
sub_615711,cust_772324,3,active,monthly,79,2024-05-07,,2024-05-07 00:00:00,2024-12-31 00:00:00
sub_286717,cust_571145,3,active,monthly,79,2024-06-09,,2024-06-09 00:00:00,2024-12-31 00:00:00
sub_465308,cust_515712,2,active,annual,29,2024-05-29,,2024-05-29 00:00:00,2024-12-31 00:00:00
sub_915565,cust_929822,2,active,monthly,29,2023-05-30,,2023-05-30 00:00:00,2024-12-31 00:00:00
sub_538996,cust_183074,2,churned,monthly,0,2023-01-20,2024-07-03,2023-01-20 00:00:00,2024-07-03 00:00:00
sub_180808,cust_227767,1,active,annual,0,2023-02-18,,2023-02-18 00:00:00,2024-12-31 00:00:00
sub_884447,cust_702980,2,churned,monthly,0,2023-09-05,2024-04-15,2023-09-05 00:00:00,2024-04-15 00:00:00
sub_282012,cust_648913,4,active,monthly,199,2024-01-05,,2024-01-05 00:00:00,2024-12-31 00:00:00
sub_385031,cust_766549,2,active,annual,29,2024-02-01,,2024-02-01 00:00:00,2024-12-31 00:00:00
sub_270666,cust_710169,1,active,monthly,0,2023-12-07,,2023-12-07 00:00:00,2024-12-31 00:00:00
sub_108890,cust_291132,1,active,monthly,0,2023-05-19,,2023-05-19 00:00:00,2024-12-31 00:00:00
sub_205909,cust_425138,4,active,monthly,199,2024-06-11,,2024-06-11 00:00:00,2024-12-31 00:00:00
sub_756359,cust_150126,2,active,monthly,29,2024-11-02,,2024-11-02 00:00:00,2024-12-31 00:00:00
sub_906172,cust_295892,3,active,annual,79,2024-05-23,,2024-05-23 00:00:00,2024-12-31 00:00:00
sub_141956,cust_962287,3,active,annual,79,2023-07-04,,2023-07-04 00:00:00,2024-12-31 00:00:00
sub_287890,cust_823270,2,active,annual,29,2024-03-30,,2024-03-30 00:00:00,2024-12-31 00:00:00
sub_141515,cust_160144,4,active,monthly,199,2023-03-18,,2023-03-18 00:00:00,2024-12-31 00:00:00
sub_333886,cust_919264,2,active,monthly,29,2024-03-24,,2024-03-24 00:00:00,2024-12-31 00:00:00
sub_905533,cust_571778,2,churned,monthly,0,2024-01-15,2024-03-22,2024-01-15 00:00:00,2024-03-22 00:00:00
sub_609917,cust_218959,3,churned,monthly,0,2023-01-27,2023-11-14,2023-01-27 00:00:00,2023-11-14 00:00:00
sub_596405,cust_741599,3,active,monthly,79,2023-10-20,,2023-10-20 00:00:00,2024-12-31 00:00:00
sub_293020,cust_192055,3,active,annual,79,2024-11-29,,2024-11-29 00:00:00,2024-12-31 00:00:00
sub_458633,cust_768676,4,churned,annual,0,2023-06-28,2024-11-13,2023-06-28 00:00:00,2024-11-13 00:00:00
sub_623706,cust_486831,2,churned,annual,0,2024-04-23,2024-10-20,2024-04-23 00:00:00,2024-10-20 00:00:00
sub_672612,cust_529322,1,active,annual,0,2024-08-11,,2024-08-11 00:00:00,2024-12-31 00:00:00
sub_116977,cust_918164,3,active,monthly,79,2024-07-18,,2024-07-18 00:00:00,2024-12-31 00:00:00
sub_534166,cust_269834,4,active,monthly,199,2023-11-27,,2023-11-27 00:00:00,2024-12-31 00:00:00
sub_764909,cust_387782,3,active,monthly,79,2023-05-09,,2023-05-09 00:00:00,2024-12-31 00:00:00
sub_932308,cust_855638,3,churned,annual,0,2024-09-11,2024-11-25,2024-09-11 00:00:00,2024-11-25 00:00:00
sub_632216,cust_377511,2,active,monthly,29,2024-10-28,,2024-10-28 00:00:00,2024-12-31 00:00:00
sub_260825,cust_606404,3,active,annual,79,2023-09-08,,2023-09-08 00:00:00,2024-12-31 00:00:00
sub_522700,cust_736129,3,churned,annual,0,2023-05-28,2024-08-02,2023-05-28 00:00:00,2024-08-02 00:00:00
sub_182598,cust_211341,1,active,monthly,0,2023-11-23,,2023-11-23 00:00:00,2024-12-31 00:00:00
sub_216320,cust_538446,4,active,monthly,199,2023-09-12,,2023-09-12 00:00:00,2024-12-31 00:00:00
sub_428817,cust_423528,3,active,monthly,79,2024-05-24,,2024-05-24 00:00:00,2024-12-31 00:00:00
sub_302212,cust_618934,4,active,monthly,199,2024-09-03,,2024-09-03 00:00:00,2024-12-31 00:00:00
sub_220364,cust_900961,1,active,annual,0,2024-02-17,,2024-02-17 00:00:00,2024-12-31 00:00:00
sub_589730,cust_901535,3,active,annual,79,2024-07-17,,2024-07-17 00:00:00,2024-12-31 00:00:00
sub_281361,cust_684929,2,active,monthly,29,2024-01-10,,2024-01-10 00:00:00,2024-12-31 00:00:00
sub_736795,cust_644559,2,active,monthly,29,2024-04-12,,2024-04-12 00:00:00,2024-12-31 00:00:00
sub_517654,cust_983532,4,active,monthly,199,2023-11-03,,2023-11-03 00:00:00,2024-12-31 00:00:00
sub_343949,cust_447329,4,active,monthly,199,2024-11-20,,2024-11-20 00:00:00,2024-12-31 00:00:00
sub_731035,cust_787436,3,active,monthly,79,2024-08-15,,2024-08-15 00:00:00,2024-12-31 00:00:00
sub_815267,cust_254954,1,active,annual,0,2024-11-28,,2024-11-28 00:00:00,2024-12-31 00:00:00
sub_307775,cust_313795,4,active,monthly,199,2024-02-25,,2024-02-25 00:00:00,2024-12-31 00:00:00
sub_398882,cust_688132,3,churned,monthly,0,2023-11-29,2024-05-07,2023-11-29 00:00:00,2024-05-07 00:00:00
sub_141020,cust_855944,4,active,monthly,199,2024-11-28,,2024-11-28 00:00:00,2024-12-31 00:00:00
sub_592718,cust_412071,3,churned,monthly,0,2023-10-23,2024-11-15,2023-10-23 00:00:00,2024-11-15 00:00:00
sub_245473,cust_809489,4,active,monthly,199,2024-07-10,,2024-07-10 00:00:00,2024-12-31 00:00:00
sub_955792,cust_182868,3,active,annual,79,2023-12-21,,2023-12-21 00:00:00,2024-12-31 00:00:00
sub_767841,cust_243941,4,active,monthly,199,2023-04-22,,2023-04-22 00:00:00,2024-12-31 00:00:00
sub_297045,cust_533377,3,active,monthly,79,2023-12-05,,2023-12-05 00:00:00,2024-12-31 00:00:00
sub_574409,cust_598807,2,churned,annual,0,2024-05-03,2024-08-10,2024-05-03 00:00:00,2024-08-10 00:00:00
sub_422066,cust_874568,2,churned,annual,0,2023-02-08,2023-06-24,2023-02-08 00:00:00,2023-06-24 00:00:00
sub_129974,cust_403528,3,active,monthly,79,2023-02-08,,2023-02-08 00:00:00,2024-12-31 00:00:00
sub_216478,cust_617904,4,active,monthly,199,2023-05-18,,2023-05-18 00:00:00,2024-12-31 00:00:00
sub_874992,cust_114768,1,active,monthly,0,2023-12-12,,2023-12-12 00:00:00,2024-12-31 00:00:00
sub_722859,cust_190951,2,active,monthly,29,2024-02-15,,2024-02-15 00:00:00,2024-12-31 00:00:00
sub_614496,cust_890371,2,churned,annual,0,2023-10-01,2024-03-19,2023-10-01 00:00:00,2024-03-19 00:00:00
sub_449950,cust_588002,3,active,annual,79,2023-11-11,,2023-11-11 00:00:00,2024-12-31 00:00:00
sub_757343,cust_409369,3,active,monthly,79,2024-01-12,,2024-01-12 00:00:00,2024-12-31 00:00:00
sub_554515,cust_593699,3,active,annual,79,2024-07-04,,2024-07-04 00:00:00,2024-12-31 00:00:00
sub_588969,cust_181896,1,active,monthly,0,2024-07-31,,2024-07-31 00:00:00,2024-12-31 00:00:00
sub_167755,cust_563303,3,churned,annual,0,2023-04-30,2023-07-22,2023-04-30 00:00:00,2023-07-22 00:00:00
sub_229431,cust_578987,2,churned,monthly,0,2024-07-31,2024-09-19,2024-07-31 00:00:00,2024-09-19 00:00:00
sub_397025,cust_706403,3,active,annual,79,2023-03-16,,2023-03-16 00:00:00,2024-12-31 00:00:00
sub_362165,cust_906325,3,active,monthly,79,2023-05-19,,2023-05-19 00:00:00,2024-12-31 00:00:00
sub_591130,cust_493892,4,churned,monthly,0,2023-03-24,2023-09-02,2023-03-24 00:00:00,2023-09-02 00:00:00
sub_541365,cust_654531,4,active,monthly,199,2023-05-11,,2023-05-11 00:00:00,2024-12-31 00:00:00
sub_876442,cust_657772,3,active,monthly,79,2024-01-24,,2024-01-24 00:00:00,2024-12-31 00:00:00
sub_733120,cust_744793,2,active,annual,29,2023-01-17,,2023-01-17 00:00:00,2024-12-31 00:00:00
sub_799961,cust_146385,3,active,monthly,79,2024-02-16,,2024-02-16 00:00:00,2024-12-31 00:00:00
sub_225961,cust_867051,3,churned,monthly,0,2024-08-12,2024-10-14,2024-08-12 00:00:00,2024-10-14 00:00:00
sub_246070,cust_533649,1,churned,monthly,0,2023-11-04,2024-01-03,2023-11-04 00:00:00,2024-01-03 00:00:00
sub_997412,cust_149161,4,active,annual,199,2023-12-19,,2023-12-19 00:00:00,2024-12-31 00:00:00
sub_513064,cust_664058,3,active,monthly,79,2024-04-29,,2024-04-29 00:00:00,2024-12-31 00:00:00
sub_235708,cust_684357,2,churned,monthly,0,2024-06-26,2024-09-10,2024-06-26 00:00:00,2024-09-10 00:00:00
sub_266911,cust_299734,3,churned,monthly,0,2023-02-22,2024-07-11,2023-02-22 00:00:00,2024-07-11 00:00:00
sub_492505,cust_602681,3,active,monthly,79,2023-08-02,,2023-08-02 00:00:00,2024-12-31 00:00:00
sub_912002,cust_354377,3,active,monthly,79,2024-09-10,,2024-09-10 00:00:00,2024-12-31 00:00:00
sub_299372,cust_423404,3,churned,annual,0,2023-09-25,2024-12-05,2023-09-25 00:00:00,2024-12-05 00:00:00
sub_968376,cust_312994,2,active,monthly,29,2024-01-15,,2024-01-15 00:00:00,2024-12-31 00:00:00
sub_784963,cust_854987,3,active,monthly,79,2024-03-03,,2024-03-03 00:00:00,2024-12-31 00:00:00
sub_536459,cust_453961,4,churned,monthly,0,2023-09-21,2024-03-22,2023-09-21 00:00:00,2024-03-22 00:00:00
sub_660134,cust_612036,4,active,monthly,199,2023-07-08,,2023-07-08 00:00:00,2024-12-31 00:00:00
sub_349739,cust_244170,1,active,monthly,0,2024-10-07,,2024-10-07 00:00:00,2024-12-31 00:00:00
sub_854793,cust_746467,4,active,monthly,199,2024-05-09,,2024-05-09 00:00:00,2024-12-31 00:00:00
